game_id,game_date,away_team_id,home_team_id,season
401820395,2025-11-04,2630,2439,2026
401817464,2025-11-04,2502,24,2026
401824895,2025-11-04,62,2483,2026
401811102,2025-11-05,233,156,2026
401822993,2025-11-05,2397,2393,2026
401826937,2025-11-05,495,2506,2026
401820604,2025-11-05,178,2066,2026
401812626,2025-11-05,2520,164,2026
401826731,2025-11-05,108942,2026,2026
401822176,2025-11-05,2154,2325,2026
401831374,2025-11-05,128256,2636,2026
401830341,2025-11-05,126826,2400,2026
401829495,2025-11-05,2688,256,2026
401829411,2025-11-05,2175,322,2026
401828719,2025-11-05,111926,2450,2026
401827517,2025-11-05,2058,2210,2026
401827040,2025-11-05,2163,2504,2026
401826837,2025-11-05,2169,218,2026
401826767,2025-11-05,177,261,2026
401823484,2025-11-05,548,2382,2026
401823450,2025-11-05,2355,2511,2026
401823036,2025-11-05,2379,61,2026
401820822,2025-11-05,88,2086,2026
401817172,2025-11-05,2896,257,2026
401827212,2025-11-05,130174,326,2026
401827172,2025-11-05,2010,84,2026
401826995,2025-11-05,2627,99,2026
401823021,2025-11-05,2582,269,2026
401830318,2025-11-05,2837,167,2026
401828288,2025-11-05,111254,149,2026
401827058,2025-11-05,2908,278,2026
401826086,2025-11-05,2449,302,2026
401825576,2025-11-05,3218,147,2026
401824022,2025-11-05,3246,3101,2026
401823351,2025-11-05,2453,344,2026
401830411,2025-11-05,2486,13,2026
401824061,2025-11-05,109670,279,2026
401823499,2025-11-05,331,2351,2026
401823441,2025-11-06,2454,57,2026
401817240,2025-11-06,2296,97,2026
401819871,2025-11-06,2755,66,2026
401823475,2025-11-06,2771,2,2026
401820183,2025-11-06,3183,2352,2026
401823550,2025-11-06,2850,2934,2026
401826757,2025-11-06,40,160,2026
401813273,2025-11-06,3164,2415,2026
401812351,2025-11-06,112358,85,2026
401830236,2025-11-06,2177,47,2026
401829497,2025-11-06,3153,295,2026
401829414,2025-11-06,110414,2329,2026
401829053,2025-11-06,2886,2711,2026
401828913,2025-11-06,73,282,2026
401827521,2025-11-06,108806,2261,2026
401827484,2025-11-06,424,325,2026
401823416,2025-11-06,2062,189,2026
401822370,2025-11-06,112686,2815,2026
401820837,2025-11-06,2648,2127,2026
401819915,2025-11-06,2097,277,2026
401817212,2025-11-06,2643,103,2026
401813346,2025-11-06,2018,2099,2026
401813253,2025-11-06,2287,195,2026
401812643,2025-11-06,2115,2514,2026
401812333,2025-11-06,2330,2752,2026
401809414,2025-11-06,2065,2390,2026
401823399,2025-11-06,2523,2181,2026
401829685,2025-11-06,2016,6,2026
401829472,2025-11-06,512,2571,2026
401828543,2025-11-06,111166,2198,2026
401828275,2025-11-06,2466,249,2026
401827256,2025-11-06,2650,2572,2026
401827003,2025-11-06,2640,245,2026
401826042,2025-11-06,27,155,2026
401823522,2025-11-06,2437,2000,2026
401823340,2025-11-06,3155,294,2026
401820541,2025-11-06,2463,2460,2026
401817453,2025-11-06,357,2567,2026
401817183,2025-11-06,2130,139,2026
401812250,2025-11-06,2598,2628,2026
401817154,2025-11-06,2385,2350,2026
401826738,2025-11-06,2172,264,2026
401817219,2025-11-06,2750,25,2026
401824088,2025-11-06,2029,2501,2026
401826869,2025-11-07,2473,2509,2026
401812786,2025-11-07,2349,41,2026
401822330,2025-11-07,2674,96,2026
401819899,2025-11-07,2534,2641,2026
401813757,2025-11-07,2492,26,2026
401824023,2025-11-07,3101,12,2026
401823225,2025-11-07,526,356,2026
401817263,2025-11-07,2305,153,2026
401823461,2025-11-07,2459,275,2026
401828301,2025-11-07,2732,48,2026
401828911,2025-11-07,502,339,2026
401818367,2025-11-07,171,2441,2026
401829342,2025-11-07,2565,2636,2026
401828495,2025-11-07,2299,2916,2026
401827273,2025-11-07,111,2142,2026
401812599,2025-11-07,109,108,2026
401827449,2025-11-07,232,2335,2026
401824357,2025-11-07,104,77,2026
401822724,2025-11-07,46,120,2026
401817164,2025-11-07,202,227,2026
401823426,2025-11-07,2739,2084,2026
401823392,2025-11-07,2870,194,2026
401829486,2025-11-07,3229,324,2026
401829448,2025-11-07,2032,2617,2026
401826706,2025-11-07,2011,52,2026
401826698,2025-11-07,2737,2244,2026
401826069,2025-11-07,455,2515,2026
401825382,2025-11-07,2938,2698,2026
401825204,2025-11-07,123362,56,2026
401824868,2025-11-07,2653,231,2026
401824302,2025-11-07,2275,314,2026
401824134,2025-11-07,265,2166,2026
401823647,2025-11-07,2710,2294,2026
401823352,2025-11-07,6371,2453,2026
401823009,2025-11-07,172,2309,2026
401822318,2025-11-07,2365,2050,2026
401820797,2025-11-07,2635,2429,2026
401819843,2025-11-07,2247,2132,2026
401818547,2025-11-07,2561,225,2026
401817528,2025-11-07,2413,154,2026
401817487,2025-11-07,2428,258,2026
401817442,2025-11-07,2344,221,2026
401817132,2025-11-07,2174,87,2026
401813445,2025-11-07,2529,2184,2026
401812917,2025-11-07,2241,228,2026
401812573,2025-11-07,2827,219,2026
401809074,2025-11-07,2083,116,2026
401831071,2025-11-07,2652,193,2026
401828492,2025-11-07,2433,145,2026
401826892,2025-11-07,2681,2550,2026
401822166,2025-11-07,289,2230,2026
401820614,2025-11-07,2803,59,2026
401829345,2025-11-07,2546,142,2026
401828917,2025-11-07,140,79,2026
401826918,2025-11-07,2862,2458,2026
401826860,2025-11-07,2400,93,2026
401825587,2025-11-07,130183,2464,2026
401824945,2025-11-07,284,305,2026
401822735,2025-11-07,2670,328,2026
401822366,2025-11-07,2447,2197,2026
401829277,2025-11-07,2569,2535,2026
401823514,2025-11-07,2678,88,2026
401808949,2025-11-07,2545,309,2026
401828473,2025-11-07,2703,2638,2026
401823554,2025-11-07,304,301,2026
401823509,2025-11-07,2720,70,2026
401823002,2025-11-07,2754,2253,2026
401818298,2025-11-07,43,2426,2026
401817253,2025-11-07,5,152,2026
401826927,2025-11-07,3078,16,2026
401826922,2025-11-07,3218,2502,2026
401826804,2025-11-07,242,2483,2026
401824119,2025-11-07,2377,2541,2026
401824055,2025-11-07,82,204,2026
401829430,2025-11-07,236,2608,2026
401823531,2025-11-07,2856,300,2026
401824810,2025-11-08,119,248,2026
401812261,2025-11-08,333,2599,2026
401817229,2025-11-08,2717,150,2026
401812660,2025-11-08,107,252,2026
401826785,2025-11-08,8,127,2026
401823382,2025-11-08,94,2633,2026
401824032,2025-11-08,201,2250,2026
401827233,2025-11-08,2016,135,2026
401827059,2025-11-08,2896,2908,2026
401820596,2025-11-08,163,2006,2026
401828336,2025-11-08,338,50,2026
401827277,2025-11-08,213,2441,2026
401827237,2025-11-08,2229,158,2026
401822667,2025-11-08,2182,2603,2026
401817477,2025-11-08,2169,183,2026
401817142,2025-11-08,58,45,2026
401826843,2025-11-08,326,2655,2026
401824854,2025-11-08,3134,2110,2026
401823469,2025-11-08,276,2649,2026
401823188,2025-11-08,2217,2885,2026
401822309,2025-11-08,270,2747,2026
401813435,2025-11-08,2378,2168,2026
401813374,2025-11-08,315,2066,2026
401812283,2025-11-08,161,2612,2026
401829488,2025-11-08,2427,290,2026
401829412,2025-11-08,322,251,2026
401826725,2025-11-08,2539,235,2026
401820210,2025-11-08,126910,2385,2026
401822177,2025-11-08,2405,2325,2026
401831377,2025-11-08,2590,6,2026
401829324,2025-11-08,23,2540,2026
401827518,2025-11-08,2210,2430,2026
401827504,2025-11-08,2729,2450,2026
401824824,2025-11-08,238,2116,2026
401823865,2025-11-08,250,167,2026
401823814,2025-11-08,3084,68,2026
401822729,2025-11-08,2239,2751,2026
401820550,2025-11-08,2046,2005,2026
401819861,2025-11-08,331,38,2026
401817465,2025-11-08,149,24,2026
401813347,2025-11-08,2099,179,2026
401823037,2025-11-08,2129,2379,2026
401817518,2025-11-08,2507,259,2026
401826977,2025-11-08,2047,2272,2026
401823305,2025-11-08,299,278,2026
401820823,2025-11-08,85,2086,2026
401820622,2025-11-08,311,2619,2026
401827757,2025-11-08,399,113,2026
401826771,2025-11-08,2226,232,2026
401824885,2025-11-08,2193,2506,2026
401817173,2025-11-08,151,257,2026
401826880,2025-11-08,2504,2724,2026
401823451,2025-11-08,2511,222,2026
401820485,2025-11-08,357,2627,2026
401819906,2025-11-08,2692,254,2026
401822994,2025-11-08,2693,2393,2026
401828526,2025-11-08,2301,198,2026
401826793,2025-11-08,349,2900,2026
401823455,2025-11-08,2117,71,2026
401823322,2025-11-08,2823,2623,2026
401819889,2025-11-08,91,2306,2026
401811966,2025-11-08,2634,2057,2026
401823539,2025-11-08,292,253,2026
401824038,2025-11-08,2029,2351,2026
401820396,2025-11-08,236,2439,2026
401826907,2025-11-08,2277,28,2026
401824126,2025-11-08,13,2547,2026
401824062,2025-11-08,279,2440,2026
401812600,2025-11-09,160,108,2026
401828296,2025-11-09,2711,2097,2026
401826732,2025-11-09,2428,2026,2026
401823022,2025-11-09,84,269,2026
401822758,2025-11-09,2154,256,2026
401812574,2025-11-09,219,44,2026
401828576,2025-11-09,2413,61,2026
401823485,2025-11-09,288,2382,2026
401823417,2025-11-09,2330,189,2026
401823393,2025-11-09,2936,2870,2026
401823256,2025-11-09,2463,155,2026
401820542,2025-11-09,2571,2460,2026
401818548,2025-11-09,261,225,2026
401813320,2025-11-09,2368,159,2026
401813287,2025-11-09,245,197,2026
401813254,2025-11-09,172,2287,2026
401811103,2025-11-09,127162,233,2026
401826896,2025-11-09,2358,2348,2026
401825577,2025-11-09,2172,147,2026
401819916,2025-11-09,2329,277,2026
401819814,2025-11-09,3101,9,2026
401828912,2025-11-09,2474,339,2026
401823515,2025-11-09,2678,142,2026
401828276,2025-11-09,249,2350,2026
401824089,2025-11-09,302,2501,2026
401823555,2025-11-09,304,21,2026
401827088,2025-11-09,2755,47,2026
401826772,2025-11-09,2226,2335,2026
401823858,2025-11-09,2363,30,2026
401823808,2025-11-09,2437,36,2026
401827257,2025-11-09,2572,2579,2026
401829390,2025-11-09,3077,2630,2026
401819824,2025-11-09,264,239,2026
401824896,2025-11-10,2837,62,2026
401812787,2025-11-10,171,41,2026
401813758,2025-11-10,2698,26,2026
401819872,2025-11-10,344,66,2026
401830743,2025-11-10,2404,2275,2026
401828476,2025-11-10,2891,2739,2026
401828307,2025-11-10,2890,55,2026
401827011,2025-11-10,3120,2582,2026
401826761,2025-11-10,2441,2349,2026
401824869,2025-11-10,3242,231,2026
401823003,2025-11-10,130195,2754,2026
401820623,2025-11-10,311,164,2026
401813375,2025-11-10,2169,315,2026
401828914,2025-11-10,282,2565,2026
401827526,2025-11-10,2569,2448,2026
401826968,2025-11-10,2822,2241,2026
401826938,2025-11-10,2506,2247,2026
401826829,2025-11-10,3229,2635,2026
401823400,2025-11-10,2242,2523,2026
401823359,2025-11-10,98,2198,2026
401823189,2025-11-10,2217,2550,2026
401823010,2025-11-10,350,2309,2026
401820838,2025-11-10,2127,2643,2026
401817443,2025-11-10,2199,221,2026
401809415,2025-11-10,56,2390,2026
401830124,2025-11-10,2892,2433,2026
401829443,2025-11-10,128256,2377,2026
401828905,2025-11-10,2564,2181,2026
401823866,2025-11-10,3166,250,2026
401822310,2025-11-10,2031,270,2026
401817184,2025-11-10,2815,139,2026
401812251,2025-11-10,2320,2628,2026
401808892,2025-11-10,2443,99,2026
401826913,2025-11-10,325,77,2026
401823559,2025-11-10,2541,2752,2026
401823462,2025-11-10,2459,2253,2026
401812661,2025-11-10,107,254,2026
401808950,2025-11-10,2545,59,2026
401824135,2025-11-10,2900,265,2026
401830114,2025-11-10,124946,300,2026
401817220,2025-11-10,2239,25,2026
